song,year,artist,genre,lyrics
dumpweed,2000,blink-182,Rock,"It's understood, I said it many ways
Too scared to run, I'm too scared stay
I said I'd leave, but I could never leave her
And if I did, you know I'd never cheat her
But this I ask, it's what I want to know
How would you feel, if I should choose to go
Another guy, you think he'd be unlike me
Another guy, you think he'd want to fight me
She's a dove, she's a fucking nightmare
Unpredictable, it was my mistake to stay here
On the go and it's way too late to play
I need a girl that I can train
I heard it once, I'm sure I heard it twice
My dad used to give me all of his advice
He would say you got to turn your back and run now
Come on son, you haven't got a chance now
She's a dove, she's a fucking nightmare
Unpredictable, it was my mistake to stay here
On the go and it's way too late to play
I need a girl that I can train
She's a dove, she's a fucking nightmare
Unpredictable, it was my mistake to stay here
On the go and it's way too late to play
I need a girl that I can train
Need a girl that I can train
Need a girl that I can train
Turn your back and run now
You haven't got a chance now
Need a girl that I can train
Need a girl that I can train
Turn your back and run now
You haven't got a chance now"
dysentery-gary,2006,blink-182,Rock,"Got a lotta heart ache
He's a fucking weasel
His issues make my mind ache
Want to make a deal
'Cause I love your little motions
You do with your pigtails
What a nice creation
Worth another night in jail
He's a player, diarrhea giver
Tried to grow his hair out
When friends were listening to Slayer
I would like to find him Friday night
Hanging out with mom and trying on his fathers tights
Life just sucks, I lost the one, I'm giving up she found someone
There's plenty more, girls are such a drag
So all you little ladies
Be sure to choose the right guys
You'll come back to me maybe
I'll shower you with lies
Got a lotta heart ache
He's a fucking weasel
Decisions make my mind ache
Want to make a deal
Ease away the problems and the pain
The girl chose the one guy who makes you want to kick and scream
All along, you wish that she would stay
Fuck the guy who took and ran away
He's a player, diarrhea giver
Tried to grow his hair out
When friends were listening to slayer
I would like to find him Friday night
Hanging out with mom and trying on his fathers tights
Life just sucks, I lost the one, I'm giving up she found someone
There's plenty more, girls are such a drag
Fuck this place, I lost the war
I hate you all, your mom's a whore
Where's my dog?
'Cause girls are such a drag"
easy-target,2006,blink-182,Rock,"All her signals are getting lost in the ether, she's a landslide like a city beneath her
So take a good look, so you'll never forget it (That's what she wanted)
Take a deep breath, I know I'm gonna regret it (That's what she wanted)
Holly's looking dry looking for an easy target
Let her slit my throat give her ammo if she'll use it
Caution on the road lies lies and hidden danger
Southern California's breeding mommy's little monster
She's got a mission, and I'm collateral damage (That's what she wanted)
She's the flower that you place on my casket (That's what she wanted)
Savor the moment cause the memory's fleeting
Take a photograph, as the last train is leaving
Holly's looking dry looking for an easy target
Let her slit my throat give her ammo if she'll use it
Caution on the road lies lies and hidden danger
Southern California's breeding mommy's little monster"
elevator,2006,boxcar-racer,Rock,"The building turned it's back
Ignored my call
The concrete looks too thin to break my fall
The sunset stretched across this night time scene
I counted people as I neared the street below, whoa, below, whoa
I saw it all, I saw it all go down
The shadow grew as he approached the ground
The sunset stretched across this night time scene
I turned away as he came near the street, below, whoa, below, whoa, below
Let's forget this all, move on
Let's forget this all, move on
Let's forget this all, move on
Let's forget this all, move on
Let's forget this all, move on
Let's forget this all, move on
Let's forget this all, move on"
emo,2006,blink-182,Rock,"One more time you will laugh about it
And he'll never try to give you more
And I don't care, he is such a dick
Treats you like you are a stupid whore
And it seems like things will never change
You go on, every cloud is in your way
And I know you feel empty all the time
You'll never listen to anything that I say
She's better off sleeping on the floor
'cause she fell right off when all
Is said, you know
It's okay to just want more
Why leave when you claim it is love?
But why stay when you're not the only one?
She's proved she's strong
Be brave, be strong
She's better off sleeping on the floor
'cause she fell right off when all
Is said, you know
It's okay to just want more
She's better off sleeping on the floor
She's better off sleeping on the floor (because she fell right off her bed)
She's better off sleeping on the floor
She's better off sleeping on the floor (because she fell right off her bed)
She's better off sleeping on the floor
She's better off sleeping on the floor (because she fell right off her bed)
She's better off sleeping on the floor
She's better off sleeping on the floor (because she fell right off her bed)"
enthused,2006,blink-182,Rock,"Am I strung out, crazy, or not allowed
To be the one who gets stupid over you
Lazy (lazy), laid back (laid back), maybe you're just on crack
Why am I the one who gets fucked up and confused?
(Go!)
She doesn't care at all
She doesn't care about those times we never shared at all
If I were the last of the few who always ask
Would you still be the same person that I knew
And if it's for me, another boring story
I swear I'll act enthused"
epic-holiday,2009,angels-and-airwaves,Rock,"And the brightest sign, it is full of holes
And it's full of paying lost violent criminals
With a little fate
And the worst of lies
With a love so deep its war with endless fire inside
Go right back to the line
Every single day, every nine to five
Ever body works it hard, but then we finally die
And there's no remorse
Or the slightest sound
We're forever cool with the way it all breaks up and down
Let's start a riot
Nobody's right
Nobody's wrong
Life's just a game it's just one epic holiday
However far this takes us along
Take us away, it's just one epic holiday
On the Sunday rain, like a lonely ghost
And the furthest point from here is right outside the door
Open up your eyes
Take a breath if you will
And the sun is still alive even though it's hard to tell
Let's start a riot
Nobody's right
Nobody's wrong
Life's just a game, it's just one epic holiday
However far this takes us along
Take us away, it's just one epic holiday
Nobody's right
Nobody's wrong
Life's just a game, it's just one epic holiday
However far this takes us along
Take us away, it's just one epic holiday
Let's start a riot
Let's start a riot
Nobody's right
Nobody's wrong
Life's just a game, it's just one epic holiday
However far this takes us along
Take us away, it's just one epic holiday"
even-if-she-falls,2011,blink-182,Rock,"There she was like a starry night
Like a Ferris wheel, full of blue green eyes
And a heart of steel always on her own
Almost never real
When the night will begin
The pain it won't end even if she falls in love
Fact you wanna turn back your heart will attack
Even if she falls in love
And she was like a blade of ice
Like a lonely road clears day of life
Always sharp and cold always beautiful
I am such a fool
When the night will begin
The pain won't end even if she falls in love
Fact you wanna turn back your heart will attack
Even if she falls in love
Try to look in her eyes the light is just right
Even if she falls in love and it isn't so bad it's
Driving you mad even if she falls in love"
everythings-magic,2007,angels-and-airwaves,Rock,"And do you ever feel like you're alone?
And do you ever wish to be unknown?
I could say that I have
I could say that I have
And do you ever feel things here aren't right?
And do you ever feel the time slip by?
I can say that I have
And I can say that I have
So hear this please
And watch as your heart speeds up endlessly
And look for the stars as the sun goes down
Each breath that you take has a thunderous sound
Everything, everything's magic
Just sit back and hold on, but hold on tight
Prepare for the best and the fastest ride
And reach out your hand, and I'll make you mine
Everything, everything's magic
And do you ever lay awake at night?
And do you ever tell yourself don't try?
Don't try to let yourself down
Don't try to let yourself down
And do you ever see yourself in love?
And do you ever take a chance, my love?
Because you know that I will
Because you know that I will
So hear this please
And watch as your hearts speeds up endlessly
And look for the stars as the sun goes down
Each breath that you take has a thunderous sound
Everything, everything's magic
Just sit back and hold on, but hold on tight
Prepare for the best and the fastest ride
And reach out your hand, and I'll make you mine
Everything, everything's magic
Everything, everything's magic
So hear this please
And watch as your hearts speeds up endlessly
And look for the stars as the sun goes down
Each breath that you take has a thunderous sound
Everything, everything's magic
Just sit back and hold on, but hold on tight
Prepare for the best and the fastest ride
And reach out your hand, and I'll make you mine
Everything, everything's magic"
everytime-i-look-for-you,2006,blink-182,Rock,"I never found out why you left him
But this answer begs that question
Too blind to see tomorrow
Too broke to beg or borrow
Young and stupid
Left wide open
Hearts are wasted
Lives are broken
One more point of contention
I need some intervention
Approached with vague intentions
Betray my short attention
Span the distance
Bridge the border
Beg forgiveness
Round the corner
Everytime I look for you the sun goes down
And I stumble when this whole thing runs aground
I left another message, you are never around
But everytime I look for you the sun goes down once more
Will the last one out please shut the door
More time apart will give you
A few more months to argue
Is this too much to live through?
It always seemed to far to
Drive the point home
Send more letters
Pray tomorrow
Ends up better
Everytime I look for you the sun goes down
And I stumble when this whole thing runs aground
I left another message, you are never around
But everytime I look for you the sun goes down once more
Will the last one out please shut the door
I never did do anything that she asked
I never let what happened stay in the past
I never did quite understand what she meant
In spite of everything
In spite of everything
Everytime I look for you the sun goes down
And I stumble when this whole thing runs aground
I left another message, you are never around
But everytime I look for you the sun goes down
And I stumble when this whole thing runs aground
I left another message, you are never around
But everytime I look for you the sun goes down"
family-reunion,2000,blink-182,Rock,"Shit piss fuck cunt cocksucker motherfucker tit fart turd and twat
Shit piss fuck cunt cocksucker motherfucker tit fart turd and twat
Shit piss fuck cunt cocksucker motherfucker tit fart turd and twat
Shit piss fuck cunt cocksucker motherfucker tit fart turd and twat
I fucked your mom
And I want to suck my dad
And my mama too
Oh, is this thing on?"
feeling-this,2006,blink-182,Rock,"(Get ready for action!)
I got to regret right now (I'm feeling this)
The air is so cold and null (I'm feeling this)
Let me go in her room (I'm feeling this)
I love all the things you do (I'm feeling this)
Show me the way to bed (I'm feeling this)
Show me the way you move (I'm feeling this)
Fucking it it's such a blur (I'm feeling this)
I love all the things you do (I'm feeling this)
Fate fell short this time
Your smile fades in the summer
Place your hand in mine
I'll leave when I wanna
Where do we go from here
Turn all the lights down now
Smiling from ear to ear (I'm feeling this)
Our breathing has got too loud (I'm feeling this)
Show me the bedroom floor (I'm feeling this)
Show me the bathroom mirror (I'm feeling this)
We're taking this way too slow (I'm feeling this)
Take me away from here (I'm feeling this)
Fate fell short this time
Your smile fades in the summer
Place your hand in mine
I'll leave when I wanna
Fate fell short this time
Your smile fades in the summer
Place your hand in mine
I'll leave when I wanna
This place was never the same again
After you came and went
How can you say you meant anything different
To anyone standing alone
On the street with a cigarette
On the first night we met
Look to the past
And remember her smile
And maybe tonight
I can breathe for awhile
I'm not in the seat
I think I'm fallin' asleep
But then all that it means is
I'll always be dreaming of you
Fate fell short this time
Your smile fades in the summer
Place your hand in mine
I'll leave when I wanna
Fate fell short this time
Your smile fades in the summer
Place your hand in mine
I'll leave when I wanna
Fate fell short this time
Your smile fades in the summer
Place your hand in mine
I'll leave when I wanna
Fate fell short this time
Your smile fades in the summer
Place your hand in mine
I'll leave when I wanna
Fate fell short this time
Your smile fades in the summer
Place your hand in mine
I'll leave when I wanna
(Are we alone? Do you feel it?
So lost and disillusioned)"
fentoozler,2006,blink-182,Rock,"At the risk of sounding rude
Just who the fuck
Do you think you are
To tell me what you
Expect of me today?
Well, you can take your attitude
You're out of luck,
You've gone way too far
If you think there's any chance
I'm gonna stay
[Chorus]
How long can I string you along?
How little of myself can I give
And still make you believe I care?
At the risk of sounding trite
Why the fuck
Do you think you're right
About every little thing
That you say?
And do you think that it is right
For Tom to spend another night
Writing songs about all the people
He thinks are gay?"
fighting-the-gravity,2011,blink-182,Rock,"This makes no sense
This makes no sense
This makes no sense
This make no,
This air is too thick to breath so just drive,
these eyes are too sick too see, go leave me behind
something swimming in my blood, somethings rotting in my brain
I'm smothered from the flood, I can't recognize you face,
I need to leave so just drive,
Burning lights on the street, fight fighting the gravity
When I'm beat and defeated, they'll take you away from me
I'm getting lost in a dream, yes, this is the last time
I'm always fighting the gravity
Tonight is too much fro me to get through,
Tomorrow's just a darkened hall to an empty room,
When I'm far away from you.
Burning lights on the street, fight fighting the gravity
When I'm beat and defeated, they'll take you away from me
I'm getting lost in a dream, yes, this is the last time
I'm always fighting the gravity
I'm always fighting the gravity
This makes no sense
This makes no sense
This makes no sense
This make no"
first-date,2006,blink-182,Rock,"In the car I just can't wait
To pick you up on our very first date
Is it cool if I hold your hand?
Is it wrong if I think it's lame to dance?
Do you like my stupid hair?
Would you guess that I didn't know what to wear?
I'm just scared of what you think
You make me nervous so I really can't eat
Let's go
Don't wait
This nights almost over
Honest, let's make
This night last forever
Forever and ever
Let's make this night last forever
Forever and ever
Let's make this night last forever
When you smile, I melt inside
I'm not worthy for a minute of your time
I really wish it was only me and you
I'm jealous of everybody in the room
Please don't look at me with those eyes
Please don't hint that you're capable of lies
I dread the thought of our very first kiss
A target that I'm probably gonna miss
Let's go
Don't wait
This nights almost over
Honest, let's make
This may last forever
Forever and ever
Let's make this night last forever
Forever and ever
Let's make this night last forever"
fuck-a-dog,2006,blink-182,Rock,"[Tom]
I want to fuck a dog in the ass
[Mark]
He wants to fuck a dog in the ass
[Tom]
I wanna fuck a dog
I tried to fuck your mom in the ass
Tried to fuck your dad in the ass
Could only find the dog....and his ass
[Mark and Tom]
We wanna fuck a dog in the ass
We wanna fuck a dog in the ass
We wanna fuck a dog
[Tom]
I tried to fuck a fucking pirate in the ass
[Mark]
Aargh me and me first mate asurvy cur
[Tom]
Tried to fuck a fucking pirate
But I've found the dog
[Mark, in Mexican accent]
Ah that was no pirate man that was thine own sister
[Mark]
It's a Mexican pirate
[Mark and Tom]
We want to fuck a dog in the ass
We want to fuck a dog in the ass
Wanna fuck a fucking dog
[Mark]
Fuck you"
ghost-on-the-dance-floor,2011,blink-182,Rock,"I'll never let you down boy
I'll never let you go
Her solace of life
Is so innocent and scary
So tell me that you're here boy
She says as if she knows
When God took her with time
God made me quite alone
It's like the universe has left me
Without a place to go
Without a hint of light
To watch the movement glow
Where a song is slowly starting
Your memory felt so real
At first against my will
But God invented chills
Yeah I, I saw your ghost tonight
The moment felt so real
If your eyes stay right on mine
My wounds would start to heal
The kids are in a hurry
And I'm just full of fear
The lights make bodies blurry
It's getting hard enough to hear
It's like the evidence is cared for
And evidently clear
If I never leave this dance floor
I'll never leave you here
Yeah I, I saw your ghost tonight
The moment it felt so real
If your eyes stay right on mine
My wounds would start to heal
I felt your ghost tonight
And I felt like hell
To know you're almost mine
But dreams are all I feel
I, I saw your ghost tonight
It fucking hurt like hell
I felt you here tonight
But dreams can't all be real
I saw your ghost tonight
It fucking hurt like hell
I felt you here tonight
But dreams can't all be real"
give-me-one-good-reason,2006,blink-182,Rock,"Mom and dad they quite don't understand it
all the kids they laugh as if they planned it
Why do girls wanna pierce their nose
and walk around in torn pantyhose, oh yeah
i like the ones who say they listen to the punk rock
i like the the kids who fight against how they were brought up
They hate the trends and think it's fucked to care,
it's cool when they piss people off with what they wear, oh yeah
So give me one good reason
why we need to be like them
Kids will have fun and offend,
They don't want to and don't fit in
Hate the jocks, the preps, the hippie fuckin scumbags
Heavy metalers with their awful pussy hair bands
counting seconds until we can get away
ditching school almost every single day, oh yeah
So give me one good reason
why we need to be like them
Kids will have fun and offend
They don't want to and don't fit in
So give me one good reason
why we need to be like them
Kids will have fun and offend
They don't want to and don't fit in"
go,2006,blink-182,Rock,"Are we all victims of opportunity
Locked outside the door back in '83
I heard the angry voice of the man inside
With the look of fear in my mothers eyes (go, go, go, go, go)
I don't wanna know, I don't wanna go (go, go, go)
Mom get in the car and let's drive away
She said I'm sorry Mark, but there's no where to stay
Turn your back on hope and went back inside
In a broken heart and let the engine die (go, go, go, go, go)
I don't wanna know, I don't wanna go (go, go, go)
Why do evil men get away with it
Can't you see that I'm in a world of shit
Give up all your hope and go back inside
Stop my bleeding heart and let the engine die
I don't wanna know
I don't wanna know
I don't wanna know
I don't wanna know
I don't wanna know (go, go)
I don't wanna know (go, go)
I don't wanna know (go, go)
I don't wanna know (go, go)"
going-away-to-college,2000,blink-182,Rock,"Please take me by the hand
It's so cold out tonight
I'll put blankets on the bed
I won't turn out the light
Just don't forget to think about me
And I won't forget you
I'll write you once a week she said
Why does it feel the same
To fall in love or break it off
And if young love is just a game
Then I must have missed the kick off
Don't depend on me to ever follow through on anything
But I'd go through hell for you and
I haven't been this scared in a long time
And I'm so unprepared so here's your valentine
Bouquet of clumsy words, a simple melody
This world's an ugly place, but you're so beautiful to me
I'll think about the times
She kissed me after class
And she put up with my friends
I acted like an ass
I'd ditch my lecture to watch the girls play soccer
Is my picture still hanging in her locker?
I haven't been this scared in a long time
And I'm so unprepared so here's your valentine
Bouquet of clumsy words, a simple melody
This world's an ugly place, but you're so beautiful
I haven't been this scared in a long time
And I'm so unprepared so here's your valentine
Bouquet of clumsy words, a simple melody
This world's an ugly place, but you're so beautiful"
good-day,2006,angels-and-airwaves,Rock,"I should of turned back I should of known better
Then to walk away defeated
I'll say it tonight ill say it forever
And this time I really swear I mean it
Oh I need you now, the earth fell fast asleep
This room is safe and sound, will you lay here with me and feel it?
I think I like today
I think it's good; it's something I can't get my head around
True love is something that comes easy
Just one kiss id swear I want to
I hear a pen drop and a nervous heartbeat
Have you ever heard me scream I love you?
Oh I need you now, the earth fell fast asleep
This room is safe and sound, will you lay here with me and feel it?
I think I like today
I think it's good; it's something I can't get my head around
I think I like today
I think it's good; it's something I can't get my head around
(dada dadaa dada da dada, dada dadaa dada da dada)
I think I like today
I think it's good; it's something I can't get my head around
I think I like today
I think it's good; it's something I can't get my head around
I think I like today
I think it's good; it's something I can't get my head around
I think I like today
I think it's good; it's something I can't get my head around"
hallucinations,2009,angels-and-airwaves,Rock,"And look real close,
Across the lines and the roads,
It is there to decode
Where you thought was a ghost,
Are sparked to explode
It's the start of the show
It's the part you love most
When your heart will implode within
Do you believe in hallucinations?
Silly dreams or Imagination?
Don't go away 'cause I feel you this time
Don't go away 'cause I need you here this time
As a man floats home,
Carry us, back to shore,
And let the mountainous coast,
Where the sun starts to glow,
From our head to our toes,
To the stars, that we know,
And with you as my host,
It will keep us afloat, we can
Do you believe in hallucinations?
Silly dreams or Imagination?
Don't go away 'cause I feel you this time
Don't go away 'cause I need you here this time.
Do you believe in hallucinations,
Any dream or it's revelation?
Don't go away 'cause I need you here this time,
Don't go away cause I'll leave you here all night
The signs, are taxing,
I'm waiting, for something,
There's images of love and war
And everything's here to explore,
It's all unlike, the usual,
A different place but beautiful,
And it is not quite as it seems,
I hear the children's laughs and screams,
Ohhhh, It's beautiful!
Ohhhh, So beautiful!
Ohhhh, It's beautiful!
Ohhhhh!
Do you believe in hallucinations?
Silly dreams or Imagination?
Don't go away 'cause I feel you this time
Don't go away 'cause I need you here this time
Do you believe in hallucinations,
Any dream or it's revelation?
Don't go away 'cause I need you here this time,
Don't go away cause I'll leave you here all night
I'm making you, all mine,
I'm making you, all mine"
happy-holidays-you-bastard,2006,blink-182,Rock,"It's Christmas Eve
And I've only wrapped two fucking presents
It's Christmas Eve
And I've only wrapped two fucking presents
And I hate hate hate your guts
I hate hate hate your guts
And I'll never talk to you again
Unless your Dad'll suck me off I'll never talk to you again
Unless your mum will touch my cock, I'll never talk to you again
Ejaculate into a sock, I'll never talk to you again, I'll never talk to you again
It's Labor day and my grampa just ate seven fucking hot dogs
Labor day and my grampa just ate seven fucking hot dogs
And he shit shit shit his pants
He's always fucking shit his pants
And I'll never talk to you again
Unless your Dad'll suck me off I'll never talk to you again
Unless your mum will touch my cock, I'll never talk to you again
Ejaculate into a sock, I'll never talk to you again, I'll never talk to you again"
heart-s-all-gone,2011,blink-182,Rock,"Take off the gloves
We fell in love by the side of the road
This desert will break you down
The veins you cut
Your smoking tongue is the end of us all
But you only care about
Fame and fortune
Watching others tortured
Casting your reflection
Grocery store perfection
This is the last time
Sent to the front line
With dirty boots on the ground
You said I'll make this all mine
You seemed so sweet at the start
But the start's all wrong
You say you speak from your heart
But your heart's all gone
Yeah your heart's all gone
Blackjack and architect
Let's drink ourselves to death
The crimes of everyone
Passed down from father to son
Hopeless and destitute
Destroyed by gratitude
Your strongest lines of defense
Are all just self-inflicted wounds
You seemed so sweet at the start
But the start's all wrong
You say you speak from your heart
But your heart's all gone
You seemed so sweet at the start
But the start's all wrong
You say you speak from your heart
But your heart's all gone
Yeah your heart's all gone
You seemed so sweet at the start
But the start's all wrong
You say you speak from your heart
But your heart's all gone
You seemed so sweet at the start
But the start's all wrong
You say you speak from your heart
But your heart's all gone
Yeah your heart's all gone"
heaven,2007,angels-and-airwaves,Rock,"I will run the streets and hostile lands
I will touch the rain with all I have
I will breathe the air, just scream it loud
My feet will never touch the ground
Because the days they feel like ancient clocks
Like when kids grow up and learn to walk
Because your life is full of pure desire
A place so gloriously wired
The lights and sounds
Oh God this is such a mess
And it's like our world
But we're the last ones left
And the hair it stands
On the back of our necks
And I swear it shows
Heaven must be just like this
Do you see the hills beneath the clouds?
The stars and its to lead you out
Can you sense the pain? It's everywhere
And if you try you'll never care
And the love you had
When you were young
Is right outside for all to come
Because your life is full of pure desire
A place so gloriously wired
The lights and sounds
Oh God this is such a mess
And it's like our world
But we're the last ones left
And the hair it stands
On the back of our necks
And I swear it shows
Heaven must be just like this
If you see the light break through the clouds
And fire up the distant towns
Now the world will be begin
Exactly how it ends
When you call for help when you are lost
For evermore or what ever it costs
And the world will begin
Exactly how it ends
Please stay
Don't go
I've got you now
Are you curious?
Please stay"
here-s-your-letter,2006,blink-182,Rock,"Cut the skin to the bone
Fall asleep all alone
Hear your voice in the dark
Lose myself in your eyes
Choke my voice Say goodnight
As the world falls apart
Fuck I can't let this kill me, let go
I need some more time to fix this
Here's a letter for you
But the words get confused
And the conversation dies
Apologize for the past
Talk some shit take it back
Are we cursed to this life
Fuck I can't let this kill me, let go
I need some more time to fix this problem
I need some more time to fix this problem
I need some more time to fix this
I'm talking to the ceiling
My life just lost all meaning
Do one thing for me tonight
I'm dying in this silence
The last star left in heaven
Is falling down to earth and
Do you still feel the same way
Do you still feel the same way
Fuck I can't let this kill me, let go
I need some more time to fix this problem
I need some more time to fix this problem
I need some more time to fix this"
hey-im-sorry,2016,blink-182,Rock,"Don't bide your time cause it is almost over
I know your down and I'll see you around
And I know it hurts but your just getting older
I know you'll win you'll do it once again
Just yesterday it always seemed like such a dream
We're unstoppable, indestructible, nothing happens to our machine
And there's no harm at least nothing we can see
As for you not so true you couldn't choose where his road would lead
What a loss you just lost all your sleep
And we've always thought that this could never happen you see
That it's so hard you gotta get up on your feet
Cause the only way I gotta say is to move on through the week
Don't bide your time cause it is almost over
I know your down and I'll see you around
And I know it hurts but your just getting older
I know you'll win you'll do it once again
I'm sorry (What's happened to you?)
Don't bide your time cause it is almost over
I know your down and I'll see you around
And I know it hurts but your just getting older
I know you'll win you'll do it once again"
home-is-such-a-lonely-place,2016,blink-182,Rock,"We're falling faster than we can fly
Forgotten seconds out on Sunset Drive
And I hold on tight
But not enough to hold you back
It feels like the moon
Is spinning off into outer space without you
This room is such a lonely place without you
I wish that we could save today
But I know we can't stay the same
And I keep pushing you away
Don't wait for me
Don't wait for me
Home is such a lonely place without you
Home is such a lonely place
I love the lightning but hate the rain
Tomorrow's frightening but not today
Wish I could slow down time
But not enough to slow you down
I feel like the moon
Is spinning off into outer space without you
The universe an empty place without you
I wish that we could save today
But I know we can't stay the same
And I keep pushing you away
Don't wait for me
Don't wait for me
Home is such a lonely place without you
Home is such a lonely place
We're falling faster than we can fly
Forgotten seconds out on Sunset Drive
I wish that we could save today
But I know we can't stay the same
And I keep pushing you away
Don't wait for me
Don't wait for me
I wish that we could save today
But I know we can't stay the same
And I keep pushing you away
Don't wait for me
Don't wait for me
Home is such a lonely place without you
Home is such a lonely place
Home is such a lonely place"
i-feel-so,2006,boxcar-racer,Rock,"-Verse 1-
Sometimes
I wish I was brave
I wish I was stronger
wish I could feel no pain
wish I was young
wish I was shy
I wish I was honest
I wish I was you not I
-Chorus-
Cause' I feel so mad
I feel so angry
Feel so callused
So lost confused, again
Feel so cheep
So used unfaithful
Lets start over
Lets start over
-Verse 2-
Sometimes I wish I was smart
I wish I made cures for
How people are
I wish I had power
I wish I could give
I wish I could change the world
For you and me
Cause' I feel so mad
I feel so angry
Feel so callused
So lost confused, again
Feel so cheep
So used unfaithful
Lets start over
Lets start over
(Fall- out)
Cause' I feel so mad
I feel so angry
Feel so callused
So lost confused, again
Feel so cheep
So used unfaithful
Lets start over
Lets start over
Cause' I feel so mad
I feel so angry
Feel so callused
So lost confused, again
Feel so cheep
So used unfaithful
Lets start over
Lets start over
Lets start over..."
i-m-lost-without-you,2006,blink-182,Rock,"I swear that I can go on forever again
Please let me know that my one bad day will end
I will go down as your lover, your friend
Give me your lips and with one kiss we begin
Are you afraid of being alone
Cause I am, I'm lost without you
Are you afraid of leaving tonight
Cause I am, I'm lost without you
I'll leave my room open till sunrise for you
I'll keep my eyes patiently focused on you
Where are you now I can hear footsteps I'm dreaming
And if you will, keep me from waking to believe this
Are you afraid of being alone
Cause I am, I'm lost without you
Are you afraid of leaving tonight
Cause I am, I'm lost without you
Are you afraid of being alone
Cause I am, I'm lost without you
Are you afraid of leaving tonight
Cause I am, I'm lost without you
Are you afraid of being alone
Cause I am, I'm lost without you
Are you afraid of leaving tonight
Cause I am, I'm lost without you"
i-m-sorry,2006,blink-182,Rock,"Don't bide your time cause it is almost over
I know your down and I'll see you around
And I know it hurts but your just getting older
I know you'll win you'll do it once again
Just yesterday it always seemed like such a dream
We're unstoppable, indestructible, nothing happens to our machine
And there's no harm at least nothing we can see
As for you not so true you couldn't choose where his road would lead
What a loss you just lost all your sleep
And we've always thought that this could never happen you see
That it's so hard you gotta get up on your feet
Cause the only way I gotta say is to move on through the week
Don't bide your time cause it is almost over
I know your down and I'll see you around
And I know it hurts but your just getting older
I know you'll win you'll do it once again
I'm sorry (What's happened to you?)
Don't bide your time cause it is almost over
I know your down and I'll see you around
And I know it hurts but your just getting older
I know you'll win you'll do it once again"
i-miss-you,2006,blink-182,Rock,"Hello there, the angel from my nightmare
The shadow in the background of the morgue
The unsuspecting victim of darkness in the valley
We can live like Jack and Sally if we want
Where you can always find me
We'll have Halloween on Christmas
And in the night we'll wish this never ends
We'll wish this never ends
(I miss you, miss you)
(I miss you, miss you)
Where are you and I'm so sorry
I cannot sleep, I cannot dream tonight
I need somebody and always
This sick strange darkness
Comes creeping on so haunting every time
And as I stared I counted
Webs from all the spiders
Catching things and eating their insides
Like indecision to call you
And hear your voice of treason
Will you come home and stop this pain tonight
Stop this pain tonight
Don't waste your time on me you're already
The voice inside my head (I miss you, miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, miss you)
Don't waste your time on me you're already
The voice inside my head (I miss you, miss you)
(I miss you, miss you)
(I miss you, miss you)
(I miss you, miss you)
(I miss you, miss you)"
inertia,2011,angels-and-airwaves,Rock,"You're a liar.
You wear a gun, makes you look bigger.
You scare the crowd, don't you feel smarter?
Like a little kid, you play with fire.
You do your part, you do it all.
But those words from your mouth they are scary,
And the hate that you have, that you carry,
It will grow, it will grow, till we're buried"
it-hurts,2006,angels-and-airwaves,Rock,"It hurts [x17]
Is this what you want?
'Cause everybody acts without a clue
Every little kiss and grin you gave
Was just a little bullshit I saw through
The alcohol is scented with your breath
You're always all done up to just be used
I'm waiting for excuses that deceive
I'll meet you in the back to see them through
How did I let her inside?
We're dripping of sweat, I'm feeling alright
Her lips were the last thing touched tonight
Your best friend is not your girlfriend
How did I let her inside?
We're dripping of sweat, I'm feeling alright
Her lips were the last thing touched tonight
Your best friend is not your girlfriend
It hurts [x17]
Are you out of your mind?
You dug yourself into a liar's hole
You made a little spark to live inside
It's now a fucking fire out of control
And when the morning comes you'll act surprised
And when the word gets out it will get old
And every day you'll try to live your life
And every little scandal will unfold
How did I let her inside?
We're dripping of sweat, I'm feeling alright
Her lips were the last thing touched tonight
Your best friend is not your girlfriend
Sherrie, do you want it?
Sherrie, I want it too
Sherrie, do you want it?
Sherrie, I want it too
How did I let her inside?
We're dripping of sweat, I'm feeling alright
Her lips were the last thing touched tonight
Your best friend is not your girlfriend
(It hurts, it hurts, it hurts, it hurts)
(It hurts, it hurts, it hurts, it hurts) Your best friend is not your girlfriend
(It hurts, it hurts, it hurts, it hurts)
(It hurts, it hurts, it hurts, it hurts) Your best friend is not your girlfriend
(It hurts, it hurts, it hurts, it hurts)
(It hurts, it hurts, it hurts, it hurts) Your best friend is not your girlfriend
(It hurts, it hurts, it hurts, it hurts)
(It hurts, it hurts, it hurts, it hurts) Your best friend is not your girlfriend"
